Ticket ID,Customer Age,Customer Gender,Product Purchased,Date of Purchase,Ticket Type,Ticket Status,Ticket Priority,Ticket Channel,First Response Time,Time to Resolution,Customer Satisfaction Rating,Time Since Purchase
50,-0.0017524203872683886,1,25,2020-09-27,4,1,3,0,,2023-06-01 11:17:48,1,0.006919478613797977
51,1.4366064417935334,1,39,2020-12-22,3,1,3,0,,2023-06-01 11:17:48,0,0.006919478613797977
52,1.3058465452316423,1,21,2020-11-20,3,0,3,0,2023-06-01 16:21:49,2023-06-01 10:31:49,1,0.2207287067046658
53,0.6520470624221869,1,28,2021-10-10,3,0,1,3,2023-06-01 01:54:49,2023-06-01 20:59:49,1,-1.6515466960369876
54,-0.4594120583538871,1,19,2021-08-16,1,0,2,0,2023-06-01 00:39:50,2023-06-01 10:25:50,0,-1.3337221677938056
55,1.5673663383554244,0,27,2021-10-14,4,2,2,0,2023-06-01 07:25:51,2023-06-01 11:17:48,0,-1.6746612071819462
56,0.3905272692984048,0,31,2021-11-19,1,2,0,0,2023-06-01 11:14:53,2023-06-01 11:17:48,0,-1.8826918074865744
57,1.63274628663637,1,5,2021-12-22,4,2,3,3,2023-06-01 10:33:53,2023-06-01 11:17:48,1,-2.0733865244324834
58,0.19438742445556823,2,15,2020-07-28,3,1,0,1,,2023-06-01 11:17:48,0,0.006919478613797977
59,-1.1132115411633425,1,5,2020-07-31,4,0,3,2,2023-06-01 11:56:57,2023-06-01 04:45:57,1,0.867935018763509
60,-0.2632722135110505,2,3,2021-09-05,2,0,3,0,2023-06-01 19:50:58,2023-06-01 00:38:58,1,-1.4492947235185991
61,-0.2632722135110505,1,37,2020-11-16,1,0,3,0,2023-06-01 00:18:00,2023-06-01 11:55:00,0,0.24384321784962448
62,-0.197892265230105,2,23,2021-11-21,2,2,0,3,2023-06-01 01:32:02,2023-06-01 11:17:48,0,-1.8942490630590538
63,1.3058465452316423,0,40,2020-12-12,0,0,1,1,2023-05-31 23:37:04,2023-06-01 12:41:04,0,0.08782026762115337
64,0.8481869072650235,0,0,2020-04-24,0,2,1,2,2023-06-01 07:07:05,2023-06-01 11:17:48,0,1.4342405418149966
65,1.1097067003888057,1,27,2021-08-02,4,1,3,2,,2023-06-01 11:17:48,1,0.006919478613797977
66,0.782806958984078,1,3,2021-11-11,4,2,3,2,2023-05-31 22:38:07,2023-06-01 11:17:48,0,-1.8422414129828968
67,0.3251473210174593,0,16,2021-08-08,0,0,1,1,2023-06-01 05:06:08,2023-06-01 10:17:08,0,-1.2874931455038883
68,0.6520470624221869,1,25,2021-06-27,1,2,2,2,2023-06-01 21:04:10,2023-06-01 11:17:48,1,-1.044790778481822
69,0.4559072175793503,2,0,2021-02-06,4,2,0,0,2023-05-31 23:00:12,2023-06-01 11:17:48,1,-0.2357828884082682
70,0.1290074761746227,0,8,2020-02-13,3,0,1,0,2023-06-01 11:57:12,2023-05-31 22:51:12,1,1.8445231146380132
71,-1.1132115411633425,1,18,2021-05-15,1,2,3,0,2023-05-31 23:49:14,2023-06-01 11:17:48,1,-0.802088411459756
72,-0.4594120583538871,2,41,2020-09-26,3,1,3,3,,2023-06-01 11:17:48,1,0.006919478613797977
73,-0.6555519031967237,0,11,2021-02-16,0,0,2,0,2023-06-01 04:35:16,2023-06-01 03:17:16,1,-0.28779053848442526
74,-0.5247920066348326,2,12,2020-11-09,1,0,0,3,2023-06-01 21:31:17,2023-06-01 02:24:17,1,0.2842936123533022
75,-0.8516917480395603,0,40,2021-04-16,0,1,0,1,,2023-06-01 11:17:48,1,0.006919478613797977
76,-0.4594120583538871,2,34,2021-01-06,2,0,0,0,2023-06-01 14:43:20,2023-06-01 02:30:20,1,-0.05086679924859873
77,-1.7016310756918522,2,41,2020-06-30,1,1,0,2,,2023-06-01 11:17:48,0,0.006919478613797977
78,1.2404665969506967,0,12,2020-12-29,0,0,2,1,2023-06-01 19:16:24,2023-06-01 15:21:24,0,-0.004637776958681365
79,0.7174270107031325,2,18,2021-01-07,0,2,3,3,2023-06-01 16:57:26,2023-06-01 11:17:48,0,-0.0566454270348384
80,-0.2632722135110505,2,21,2020-11-03,4,2,0,0,2023-06-01 11:27:28,2023-06-01 11:17:48,1,0.3189653790707402
81,0.3905272692984048,2,25,2021-03-22,4,2,0,2,2023-06-01 07:27:28,2023-06-01 11:17:48,0,-0.48426388321657404
82,-0.9824516446014514,2,3,2021-07-22,1,2,3,1,2023-06-01 11:37:29,2023-06-01 11:17:48,1,-1.189256473137814
83,-1.309351386006179,1,33,2021-10-04,3,0,2,3,2023-06-01 05:40:30,2023-06-01 20:35:30,1,-1.6168749293195495
84,0.8481869072650235,2,5,2021-08-11,4,2,0,2,2023-06-01 00:24:32,2023-06-01 11:17:48,0,-1.3048290288626072
85,1.501986390074479,2,26,2021-08-02,4,1,3,2,,2023-06-01 11:17:48,1,0.006919478613797977
86,1.501986390074479,0,9,2021-01-22,2,1,1,3,,2023-06-01 11:17:48,1,0.006919478613797977
87,0.1290074761746227,1,38,2020-01-18,4,0,0,2,2023-06-01 18:03:35,2023-06-01 06:23:35,0,1.9947674370802448
88,0.7174270107031325,2,32,2020-09-10,4,2,1,3,2023-06-01 19:21:36,2023-06-01 11:17:48,1,0.6310112795276824
89,-0.13251231694915946,2,29,2021-08-01,0,1,0,1,,2023-06-01 11:17:48,0,0.006919478613797977
90,-0.2632722135110505,1,39,2020-01-30,2,0,3,1,2023-05-31 23:17:40,2023-06-01 03:09:40,0,1.919645275859129
91,0.8481869072650235,2,39,2020-10-15,3,2,1,2,2023-06-01 07:15:41,2023-06-01 11:17:48,1,0.42875930700929393
92,1.1750866486697513,1,41,2021-11-14,2,2,2,1,2023-06-01 00:14:43,2023-06-01 11:17:48,1,-1.853798668555376
93,-0.0017524203872683886,1,6,2021-05-27,4,2,2,1,2023-06-01 15:57:45,2023-06-01 11:17:48,0,-0.8656533171083923
94,-0.7863117997586148,0,33,2021-05-24,3,1,2,1,,2023-06-01 11:17:48,0,0.006919478613797977
95,1.3712264935125877,2,27,2021-12-06,2,1,0,2,,2023-06-01 11:17:48,1,0.006919478613797977
96,1.04432675210786,1,5,2021-10-02,2,0,1,0,2023-06-01 00:08:49,2023-06-01 18:39:49,0,-1.6053176737470702
97,-1.7016310756918522,0,34,2020-10-25,1,1,1,3,,2023-06-01 11:17:48,0,0.006919478613797977
98,-1.4401112825680702,2,40,2020-01-18,2,2,1,1,2023-06-01 01:55:51,2023-06-01 11:17:48,0,1.9947674370802448
99,-0.3940321100729416,1,35,2020-09-09,0,0,1,0,2023-06-01 07:05:53,2023-06-01 14:45:53,0,0.636789907313922
100,-1.3747313342871246,2,36,2020-05-15,4,2,2,0,2023-06-01 15:32:53,2023-06-01 11:17:48,0,1.3128893583039636
101,-0.3286521617919961,0,11,2020-05-31,1,2,1,1,2023-06-01 21:36:55,2023-06-01 11:17:48,0,1.220431313724129
102,-1.7016310756918522,2,41,2021-08-01,0,2,0,2,2023-06-01 21:00:57,2023-06-01 11:17:48,1,-1.2470427510002107
103,-0.2632722135110505,0,4,2021-01-26,3,0,0,1,2023-06-01 03:07:58,2023-06-01 15:23:58,1,-0.16643935497339216
104,0.3251473210174593,1,11,2020-02-24,3,1,1,0,,2023-06-01 11:17:48,1,0.006919478613797977
105,0.9135668555459691,1,12,2021-06-27,3,1,1,2,,2023-06-01 11:17:48,0,0.006919478613797977
106,0.782806958984078,2,11,2021-07-17,2,2,0,0,2023-06-01 02:08:01,2023-06-01 11:17:48,0,-1.1603633342066155
107,-0.13251231694915946,0,30,2021-05-20,1,0,2,1,2023-06-01 11:38:01,2023-06-01 20:46:01,0,-0.8252029226047146
108,0.3905272692984048,2,21,2021-06-09,4,2,1,1,2023-06-01 15:49:01,2023-06-01 11:17:48,0,-0.940775478329508
109,-0.7209318514776692,1,11,2020-01-08,4,0,0,0,2023-06-01 02:55:03,2023-06-01 08:15:03,1,2.0525537149426416
110,0.9789468038269146,0,7,2020-03-10,2,1,1,1,,2023-06-01 11:17:48,1,0.006919478613797977
111,1.04432675210786,0,1,2021-07-28,1,0,1,1,2023-06-01 03:14:05,2023-06-01 12:43:05,1,-1.223928239855252
112,1.5673663383554244,1,31,2021-11-29,3,1,1,2,,2023-06-01 11:17:48,0,0.006919478613797977
113,1.5673663383554244,0,35,2020-03-24,2,1,3,3,,2023-06-01 11:17:48,1,0.006919478613797977
114,-1.1132115411633425,2,25,2021-11-12,1,0,1,1,2023-06-01 03:24:09,2023-05-31 22:24:09,0,-1.8422414129828968
115,-1.047831592882397,0,37,2020-09-20,1,0,1,1,2023-06-01 10:27:10,2023-06-01 06:04:10,0,0.5732250016652857
116,-0.9824516446014514,1,41,2021-01-16,4,1,0,1,,2023-06-01 11:17:48,0,0.006919478613797977
117,-1.5708711791299612,0,41,2021-11-27,1,0,1,1,2023-06-01 19:02:13,2023-06-01 18:17:13,0,-1.9289208297764917
118,-1.7016310756918522,1,17,2020-02-16,0,0,3,2,2023-06-01 00:40:14,2023-06-01 04:42:14,0,1.8271872312792943
119,-0.3286521617919961,0,19,2020-08-17,3,1,1,1,,2023-06-01 11:17:48,0,0.006919478613797977
120,-0.197892265230105,0,12,2021-07-31,0,0,2,2,2023-06-01 04:22:17,2023-06-01 14:49:17,0,-1.241264123213971
121,0.782806958984078,1,2,2021-03-11,0,2,3,0,2023-06-01 18:02:19,2023-06-01 11:17:48,0,-0.42069897756793767
122,-0.4594120583538871,2,7,2021-03-03,2,1,0,0,,2023-06-01 11:17:48,1,0.006919478613797977
123,-0.9824516446014514,2,10,2020-10-03,3,1,2,3,,2023-06-01 11:17:48,0,0.006919478613797977
124,-0.5247920066348326,2,35,2021-12-27,2,2,2,1,2023-06-01 13:08:24,2023-06-01 11:17:48,0,-2.102279663363682
125,1.2404665969506967,1,11,2021-03-23,4,2,1,2,2023-06-01 02:14:26,2023-06-01 11:17:48,0,-0.4900425110028137
126,0.06362752789367715,1,32,2020-06-27,3,1,3,0,,2023-06-01 11:17:48,1,0.006919478613797977
127,1.5673663383554244,0,23,2020-06-22,0,1,2,3,,2023-06-01 11:17:48,1,0.006919478613797977
128,0.8481869072650235,1,40,2020-09-28,3,2,2,1,2023-06-01 03:09:31,2023-06-01 11:17:48,0,0.5269959793753684
129,0.3251473210174593,1,0,2021-04-15,1,0,3,1,2023-05-31 22:12:33,2023-06-01 00:29:33,1,-0.6287295778725658
130,0.7174270107031325,2,1,2021-05-05,1,2,2,1,2023-06-01 07:38:35,2023-06-01 11:17:48,1,-0.7385235058111196
131,-0.06713236866821393,1,4,2020-02-13,0,0,3,1,2023-06-01 21:31:36,2023-06-01 15:03:36,1,1.8445231146380132
132,0.3251473210174593,1,21,2021-11-24,2,2,0,3,2023-06-01 20:57:38,2023-06-01 11:17:48,1,-1.9115849464177728
133,1.3712264935125877,0,33,2021-05-01,1,1,3,2,,2023-06-01 11:17:48,0,0.006919478613797977
134,0.3905272692984048,1,30,2021-06-17,3,0,0,2,2023-06-01 17:14:41,2023-05-31 22:53:41,0,-0.9870045006194254
135,1.4366064417935334,1,33,2020-05-01,1,0,0,1,2023-06-01 07:40:42,2023-06-01 01:07:42,0,1.393790147311319
136,-0.5901719549157782,0,35,2021-10-30,2,2,2,0,2023-06-01 02:05:43,2023-06-01 11:17:48,0,-1.7671192517617809
137,0.1290074761746227,2,7,2020-10-01,1,1,0,1,,2023-06-01 11:17:48,0,0.006919478613797977
138,-1.5054912308490156,2,1,2021-12-20,4,0,2,0,2023-06-01 09:56:46,2023-06-01 09:08:46,1,-2.0618292688600044
139,0.9135668555459691,1,0,2021-02-12,2,0,0,0,2023-05-31 23:52:47,2023-06-01 06:58:47,1,-0.2704546551257062
140,-0.8516917480395603,2,20,2021-03-12,1,2,2,2,2023-06-01 19:46:49,2023-06-01 11:17:48,0,-0.42647760535417734
141,0.19438742445556823,1,22,2021-05-09,1,0,0,1,2023-06-01 09:35:50,2023-06-01 05:30:50,0,-0.7616380169560782
142,-0.8516917480395603,2,38,2020-04-13,4,0,1,0,2023-06-01 21:18:52,2023-06-01 05:10:52,1,1.497805447463633
143,-0.3940321100729416,0,34,2021-04-26,0,2,1,0,2023-06-01 14:31:54,2023-06-01 11:17:48,0,-0.6865158557349625
144,-0.3940321100729416,0,8,2021-05-05,1,1,0,1,,2023-06-01 11:17:48,0,0.006919478613797977
145,-1.2439714377252336,0,9,2021-04-02,3,1,2,3,,2023-06-01 11:17:48,1,0.006919478613797977
146,0.1290074761746227,1,32,2020-10-12,1,2,3,1,2023-06-01 15:24:59,2023-06-01 11:17:48,1,0.446095190368013
147,-0.3286521617919961,1,23,2021-07-11,1,1,2,1,,2023-06-01 11:17:48,1,0.006919478613797977
148,-1.4401112825680702,0,3,2020-10-06,0,0,2,3,2023-06-01 13:45:03,2023-05-31 23:28:03,0,0.480766957085451
149,-0.2632722135110505,2,22,2021-10-24,3,0,1,0,2023-06-01 08:45:05,2023-06-01 13:55:05,0,-1.732447485044343
150,1.3058465452316423,0,32,2021-03-18,4,0,0,1,2023-06-01 16:34:07,2023-06-01 20:02:07,1,-0.4611493720716154
151,-0.9824516446014514,0,18,2020-10-14,3,0,0,1,2023-06-01 15:33:09,2023-06-01 06:51:09,0,0.4345379347955336
152,0.06362752789367715,2,40,2021-12-24,3,2,3,2,2023-06-01 12:33:10,2023-06-01 11:17:48,1,-2.084943780004963
153,0.1290074761746227,2,16,2021-10-19,2,2,2,3,2023-06-01 15:58:11,2023-06-01 11:17:48,1,-1.7035543461131446
154,0.9135668555459691,1,15,2020-03-12,4,2,3,3,2023-06-01 02:50:13,2023-06-01 11:17:48,0,1.6827215366233026
155,0.7174270107031325,0,34,2021-06-09,4,1,3,3,,2023-06-01 11:17:48,0,0.006919478613797977
156,0.5212871658602959,1,19,2020-01-29,1,1,2,0,,2023-06-01 11:17:48,1,0.006919478613797977
157,-1.5708711791299612,1,4,2020-12-11,2,1,2,3,,2023-06-01 11:17:48,0,0.006919478613797977
158,1.63274628663637,1,30,2020-01-29,4,1,3,2,,2023-06-01 11:17:48,1,0.006919478613797977
159,-0.5901719549157782,1,11,2021-11-30,2,2,2,3,2023-06-01 02:19:21,2023-06-01 11:17:48,1,-1.9462567131352109
160,0.7174270107031325,2,39,2021-02-03,0,2,1,1,2023-06-01 19:33:22,2023-06-01 11:17:48,1,-0.2126683772633095
161,-1.6362511274109066,0,23,2020-07-19,3,2,1,1,2023-06-01 10:20:23,2023-06-01 11:17:48,0,0.937278552198385
162,-0.9824516446014514,0,19,2020-01-06,3,0,1,2,2023-06-01 03:19:25,2023-06-01 15:58:25,0,2.0641109705151206
163,-0.9170716963205059,1,7,2021-10-23,3,0,0,2,2023-06-01 21:38:27,2023-06-01 10:37:27,0,-1.7266688572581033
164,-0.6555519031967237,1,25,2020-11-11,1,0,3,2,2023-06-01 19:15:27,2023-06-01 09:02:27,1,0.2727363567808228
165,-1.309351386006179,1,19,2021-05-21,0,0,2,3,2023-06-01 19:39:29,2023-06-01 21:26:29,1,-0.8309815503909543
166,-0.7209318514776692,1,6,2020-07-25,2,2,2,1,2023-06-01 07:21:30,2023-06-01 11:17:48,0,0.902606785480947
167,-0.7863117997586148,0,40,2020-04-03,3,0,3,1,2023-06-01 04:35:32,2023-06-01 07:29:32,0,1.5555917253260299
168,-0.197892265230105,1,14,2020-01-31,4,0,3,0,2023-06-01 12:41:33,2023-06-01 06:19:33,1,1.919645275859129
169,0.4559072175793503,2,23,2021-09-03,0,1,1,3,,2023-06-01 11:17:48,1,0.006919478613797977
170,-0.9170716963205059,1,39,2020-08-04,2,0,3,2,2023-06-01 14:14:36,2023-06-01 11:08:36,0,0.8448205076185502
171,-0.0017524203872683886,0,25,2021-12-24,0,0,2,3,2023-06-01 15:42:38,2023-06-01 18:36:38,0,-2.084943780004963
172,-0.7209318514776692,0,38,2020-12-11,3,1,2,0,,2023-06-01 11:17:48,1,0.006919478613797977
173,-0.5247920066348326,2,28,2020-01-27,1,2,3,3,2023-06-01 10:53:42,2023-06-01 11:17:48,0,1.9427597870040878
174,0.3905272692984048,2,23,2021-10-01,3,2,3,1,2023-05-31 23:10:43,2023-06-01 11:17:48,1,-1.6053176737470702
175,-0.4594120583538871,1,21,2021-10-05,4,2,0,0,2023-06-01 19:22:43,2023-06-01 11:17:48,0,-1.6226535571057892
176,-0.13251231694915946,2,33,2021-10-18,4,0,3,1,2023-06-01 13:14:45,2023-06-01 07:23:45,1,-1.6977757183269049
177,0.3251473210174593,0,37,2021-11-16,4,2,3,1,2023-06-01 02:45:47,2023-06-01 11:17:48,1,-1.8653559241278554
178,-1.1132115411633425,2,11,2020-09-21,1,2,1,2,2023-06-01 11:03:49,2023-06-01 11:17:48,1,0.5674463738790461
179,-1.2439714377252336,2,0,2020-04-19,0,1,3,0,,2023-06-01 11:17:48,1,0.006919478613797977
180,0.9135668555459691,0,18,2021-06-03,0,2,0,2,2023-06-01 18:36:52,2023-06-01 11:17:48,1,-0.90610371161207
181,1.04432675210786,2,24,2021-11-17,3,2,3,1,2023-06-01 03:33:53,2023-06-01 11:17:48,0,-1.871134551914095
182,-0.6555519031967237,2,2,2020-11-26,1,2,0,3,2023-06-01 20:47:54,2023-06-01 11:17:48,1,0.18605693998722778
183,-0.7209318514776692,0,36,2021-04-18,2,0,1,0,2023-06-01 01:29:56,2023-06-01 06:34:56,0,-0.6402868334450451
184,-0.7863117997586148,0,18,2020-03-16,0,0,3,2,2023-05-31 23:38:57,2023-06-01 03:51:57,1,1.6538283976921042
185,-0.9824516446014514,0,34,2021-10-17,3,2,1,0,2023-06-01 13:47:59,2023-06-01 11:17:48,0,-1.6919970905406652
186,0.3905272692984048,2,37,2021-03-19,4,1,2,2,,2023-06-01 11:17:48,0,0.006919478613797977
187,-0.7209318514776692,0,41,2021-04-23,2,2,3,2,2023-06-01 07:30:00,2023-06-01 11:17:48,1,-0.6691799723762435
188,0.1290074761746227,1,23,2021-01-19,1,2,2,2,2023-06-01 17:14:02,2023-06-01 11:17:48,0,-0.12598896046971444
189,-0.4594120583538871,2,34,2021-01-10,3,0,1,2,2023-06-01 15:58:03,2023-06-01 07:32:03,0,-0.07398131039355742
190,0.1290074761746227,2,21,2020-04-25,4,1,0,3,,2023-06-01 11:17:48,1,0.006919478613797977
191,1.6981262349173154,2,41,2021-02-09,3,2,0,2,2023-06-01 03:09:06,2023-06-01 11:17:48,0,-0.24734014398074755
192,0.8481869072650235,0,12,2020-10-14,2,2,2,1,2023-05-31 23:17:07,2023-06-01 11:17:48,1,0.42875930700929393
193,0.9135668555459691,2,16,2021-10-28,2,0,3,2,2023-06-01 21:31:09,2023-05-31 22:49:09,1,-1.7555619961893016
194,-1.7016310756918522,1,16,2021-09-03,1,2,0,0,2023-06-01 05:08:10,2023-06-01 11:17:48,1,-1.4377374679461197
195,0.8481869072650235,1,36,2021-06-15,0,0,3,3,2023-06-01 04:08:11,2023-06-01 11:49:11,0,-0.975447245046946
196,-0.9824516446014514,2,28,2020-06-11,3,1,1,3,,2023-06-01 11:17:48,1,0.006919478613797977
197,1.4366064417935334,0,19,2021-08-08,3,2,2,3,2023-06-01 18:04:14,2023-06-01 11:17:48,1,-1.2874931455038883
198,-0.9170716963205059,1,24,2021-01-28,3,0,1,0,2023-06-01 02:54:15,2023-05-31 22:36:15,1,-0.1779966105458715
199,1.04432675210786,0,1,2021-07-23,1,0,0,0,2023-06-01 01:07:17,2023-06-01 19:24:17,1,-1.1950351009240536
200,1.4366064417935334,2,9,2020-09-19,2,0,3,0,2023-06-01 12:39:19,2023-06-01 20:34:19,0,0.5790036294515254
201,0.4559072175793503,2,4,2021-01-13,2,1,0,1,,2023-06-01 11:17:48,0,0.006919478613797977
202,0.7174270107031325,2,14,2021-12-16,3,1,3,3,,2023-06-01 11:17:48,0,0.006919478613797977
203,-1.178591489444288,0,23,2021-04-01,0,1,3,0,,2023-06-01 11:17:48,1,0.006919478613797977
204,0.1290074761746227,1,20,2020-05-19,2,2,2,2,2023-05-31 23:25:26,2023-06-01 11:17:48,0,1.2839962193727652
205,-0.06713236866821393,0,17,2020-06-11,1,0,1,2,2023-06-01 17:47:28,2023-06-01 17:50:28,0,1.1568664080754925
206,0.7174270107031325,1,39,2020-11-24,3,0,3,2,2023-06-01 13:56:29,2023-06-01 11:18:29,0,0.1976141955597071
207,0.19438742445556823,1,34,2020-11-04,0,1,1,2,,2023-06-01 11:17:48,1,0.006919478613797977
208,0.25976737273651374,0,28,2021-07-27,0,2,0,1,2023-06-01 00:51:31,2023-06-01 11:17:48,0,-1.2181496120690123
209,-0.3940321100729416,1,9,2021-03-12,3,1,1,1,,2023-06-01 11:17:48,0,0.006919478613797977
210,1.1750866486697513,2,31,2020-02-04,4,0,2,0,2023-06-01 21:50:34,2023-06-01 20:10:34,1,1.8965307647141703
211,-0.3286521617919961,1,37,2020-01-16,4,2,2,2,2023-05-31 23:41:36,2023-06-01 11:17:48,0,2.0005460648664846
212,0.3251473210174593,2,21,2020-04-06,2,2,2,3,2023-06-01 12:37:38,2023-06-01 11:17:48,1,1.5382558419673107
213,-0.6555519031967237,0,15,2021-04-15,4,1,3,3,,2023-06-01 11:17:48,1,0.006919478613797977
214,1.1750866486697513,1,3,2021-12-24,0,1,1,2,,2023-06-01 11:17:48,1,0.006919478613797977
